Name,Location,Year,Miles_Driven,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mpg,Mileage km/l,Engine,Power,Seats,New_Price,Price,Difference
Honda City i VTEC SV,Kochi,2017,23823,38424,Petrol,Manual,First,41.83,17.8,1497 CC,117.3 bhp,5,,7.51,7.51
Maruti Swift VDI,Delhi,2014,31000,50000,Diesel,Manual,First,53.82,22.9,1248 CC,74 bhp,5,,4.3,4.3
Honda City i-VTEC CVT VX,Mumbai,2015,11780,19000,Petrol,Automatic,First,42.30,18,1497 CC,117.3 bhp,5,15.29,8.95,6.34
Maruti Ertiga VDI,Kochi,2015,36415,58734,Diesel,Manual,First,48.81,20.77,1248 CC,88.76 bhp,7,,6.91,6.91
Renault Duster 110PS Diesel RxZ,Coimbatore,2016,40459,65257,Diesel,Manual,First,44.67,19.01,1461 CC,108.45 bhp,5,,9.75,9.75
Maruti Swift Dzire VDi,Jaipur,2010,80600,130000,Diesel,Manual,Second,45.36,19.3,1248 CC,73.9 bhp,5,,4,4
Maruti Ritz VDi,Hyderabad,2011,48980,79000,Diesel,Manual,First,54.52,23.2,1248 CC,73.94 bhp,5,,3.65,3.65
Mahindra XUV500 W8 4WD,Chennai,2013,48360,78000,Diesel,Manual,First,35.49,15.1,2179 CC,140 bhp,7,,10.75,10.75
Honda Brio S MT,Kochi,2015,30462,49133,Petrol,Manual,First,45.59,19.4,1198 CC,86.8 bhp,5,,4.51,4.51
Mercedes-Benz M-Class ML 350 4Matic,Coimbatore,2016,14117,22769,Diesel,Automatic,First,0.00,0,2987 CC,165 bhp,5,,49.22,49.22
Tata Manza Club Class Quadrajet90 LS,Coimbatore,2014,33758,54448,Diesel,Manual,First,49.40,21.02,1248 CC,88.8 bhp,5,,3.7,3.7
Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,2014,98452,158793,Diesel,Manual,First,30.08,12.8,2494 CC,102 bhp,7,,12.99,12.99
Maruti Swift VXI,Delhi,2015,38495,62088,Petrol,Manual,First,43.71,18.6,1197 CC,85.8 bhp,5,,4.15,4.15
Hyundai Verna 1.6 EX VTVT,Kolkata,2012,9176,14800,Petrol,Manual,First,39.97,17.01,1591 CC,121.3 bhp,5,,4.4,4.4
Honda Mobilio S i VTEC,Kolkata,2015,16120,26000,Petrol,Manual,First,40.66,17.3,1497 CC,117.3 bhp,7,,4.25,4.25
Honda Amaze S i-Vtech,Mumbai,2017,19843,32005,Petrol,Manual,First,42.30,18,1198 CC,86.7 bhp,5,,4.25,4.25
Honda City i-VTEC CVT VX,Jaipur,2017,21700,35000,Petrol,Automatic,First,42.30,18,1497 CC,117.3 bhp,5,14.67,7.7,6.97
Land Rover Range Rover 2.2L Dynamic,Pune,2015,32240,52000,Diesel,Automatic,First,29.85,12.7,2179 CC,187.7 bhp,5,,39.75,39.75
Honda City i-VTEC V,Mumbai,2017,6820,11000,Petrol,Manual,First,40.89,17.4,1497 CC,117.3 bhp,5,12.57,8.5,4.07
Mercedes-Benz E-Class 280 Elegance,Jaipur,2008,38440,62000,Petrol,Automatic,First,22.33,9.5,2997 CC,231.1 bhp,5,,7,7
Ford Ikon 1.3 Flair,Chennai,2002,40383,65134,Petrol,Manual,Third,32.43,13.8,1299 CC,70 bhp,5,,0.8,0.8
Toyota Fortuner 4x2 Manual,Delhi,2013,44020,71000,Diesel,Manual,First,30.55,13,2982 CC,168.5 bhp,7,,15.25,15.25
Maruti A-Star Vxi,Hyderabad,2008,31847,51366,Petrol,Manual,First,44.65,19,998 CC,66.1 bhp,5,,2.25,2.25
Tata Sumo EX,Kolkata,2016,28706,46300,Diesel,Manual,First,33.06,14.07,1948 CC,83.1 bhp,7,,4.85,4.85
Honda City V AT,Coimbatore,2012,37763,60908,Petrol,Automatic,Second,36.66,15.6,1497 CC,116.3 bhp,5,,6.42,6.42
Nissan Micra XV D,Chennai,2012,57939,93450,Diesel,Manual,Second,54.50,23.19,1461 CC,63.12 bhp,5,9.48,2.5,6.98
Hyundai Verna SX CRDi AT,Hyderabad,2011,64480,104000,Diesel,Automatic,First,44.84,19.08,1582 CC,126.32 bhp,5,,5.75,5.75
Maruti 800 Std,Pune,2003,32240,52000,Petrol,Manual,First,37.84,16.1,796 CC,37 bhp,4,,0.5,0.5
Mahindra XUV500 W8 4WD,Coimbatore,2015,26659,42999,Diesel,Manual,First,35.49,15.1,2179 CC,140 bhp,7,,11.52,11.52
Maruti SX4 VDI,Delhi,2014,55800,90000,Diesel,Manual,First,50.53,21.5,1248 CC,88.8 bhp,5,,4.5,4.5
Hyundai i20 Sportz AT 1.4,Bangalore,2013,44640,72000,Petrol,Automatic,First,35.25,15,1396 CC,98.6 bhp,5,,4.75,4.75
Hyundai Creta 1.6 CRDi SX,Coimbatore,2019,33679,54321,Diesel,Manual,First,46.22,19.67,1582 CC,126.2 bhp,5,,13.54,13.54
Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,36971,59630,Diesel,Automatic,First,30.55,13,2143 CC,201.1 bhp,5,,23.41,23.41
Toyota Fortuner 4x2 AT,Hyderabad,2013,71920,116000,Diesel,Automatic,Second,29.49,12.55,2982 CC,168.5 bhp,7,,19.25,19.25
Volvo S60 D4 KINETIC,Ahmedabad,2015,21080,34000,Diesel,Automatic,First,21.15,9,1984 CC,181 bhp,5,,20,20
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Delhi,2011,43400,70000,Diesel,Automatic,First,33.39,14.21,2143 CC,203 bhp,5,,13,13
Honda Accord 2.4 Elegance M/T,Chennai,2010,49600,80000,Petrol,Manual,First,23.97,10.2,2354 CC,180 bhp,5,,3.99,3.99
Honda Amaze S i-Dtech,Pune,2015,68200,110000,Diesel,Manual,First,60.63,25.8,1498 CC,98.6 bhp,5,,4.65,4.65
Maruti Dzire ZDI,Ahmedabad,2013,35001,56454,Diesel,Manual,First,66.74,28.4,1248 CC,73.75 bhp,5,8.95,4.65,4.3
Maruti Swift LXI,Kolkata,2013,37200,60000,Petrol,Manual,First,43.71,18.6,1197 CC,85.8 bhp,5,,3.15,3.15
Toyota Corolla Altis G HV AT,Delhi,2013,34720,56000,Petrol,Automatic,First,34.15,14.53,1798 CC,138.1 bhp,5,,8.25,8.25
Land Rover Range Rover Vogue SE 4.4 SDV8,Bangalore,2012,39060,63000,Diesel,Automatic,Second,27.00,11.49,4367 CC,335.3 bhp,5,,65,65
Maruti Swift VDI,Chennai,2012,39060,63000,Diesel,Manual,First,53.82,22.9,1248 CC,74 bhp,5,,4.5,4.5
Jeep Compass 2.0 Limited Option 4X4,Kolkata,2017,9331,15050,Diesel,Manual,First,38.31,16.3,1956 CC,170 bhp,5,23.19,17.5,5.69
Maruti Swift VXI BSIV,Mumbai,2016,18229,29401,Petrol,Manual,First,47.94,20.4,1197 CC,81.80 bhp,5,,4.31,4.31
Honda Jazz 1.2 SV i VTEC,Kochi,2016,15648,25238,Petrol,Manual,First,43.95,18.7,1199 CC,88.7 bhp,5,,6.2,6.2
Volkswagen Polo Petrol Trendline 1.2L,Kochi,2011,36426,58752,Petrol,Manual,First,38.70,16.47,1198 CC,73.9 bhp,5,,3.32,3.32
Honda Civic 2006-2010 1.8 V AT,Delhi,2011,38440,62000,Petrol,Automatic,First,30.32,12.9,1799 CC,130 bhp,5,,3.75,3.75
Toyota Etios G SP,Bangalore,2013,81840,132000,Petrol,Manual,First,39.43,16.78,1496 CC,88.73 bhp,5,,4.7,4.7
Hyundai Verna 1.6 SX VTVT,Chennai,2016,31620,51000,Petrol,Manual,First,39.97,17.01,1591 CC,121.3 bhp,5,,6.5,6.5
Toyota Innova 2.5 G4 Diesel 8-seater,Hyderabad,2009,114824,185200,Diesel,Manual,First,30.08,12.8,2494 CC,102 bhp,8,,7.25,7.25
Maruti SX4 S Cross DDiS 320 Zeta,Coimbatore,2016,38265,61717,Diesel,Manual,First,53.35,22.7,1598 CC,118 bhp,5,,8.94,8.94
Ford Freestyle Titanium Plus Petrol,Kolkata,2018,5516,8896,Petrol,Manual,First,44.65,19,1194 CC,94.68 bhp,5,8.24,7.34,0.9
Maruti Baleno Alpha 1.2,Delhi,2016,10540,17000,Petrol,Manual,First,50.29,21.4,1197 CC,83.1 bhp,5,,6.9,6.9
Honda Jazz V,Mumbai,2016,19454,31378,Petrol,Manual,First,42.77,18.2,1199 CC,88.7 bhp,5,8.71,5.9,2.81
Hyundai Verna 1.6 CRDi EX AT,Pune,2013,70680,114000,Diesel,Automatic,First,52.45,22.32,1582 CC,126.3 bhp,5,,6.75,6.75
Honda Amaze VX i-DTEC,Ahmedabad,2014,50220,81000,Diesel,Manual,First,60.63,25.8,1498 CC,98.6 bhp,5,,4.1,4.1
Audi Q3 30 TDI Premium FWD,Mumbai,2017,19220,31000,Diesel,Automatic,First,43.50,18.51,1968 CC,147.51 bhp,5,44.75,27,17.75
Skoda Rapid 2013-2016 1.6 MPI Ambition,Mumbai,2014,21700,35000,Petrol,Manual,First,35.25,15,1598 CC,103.52 bhp,5,,4.5,4.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kolkata,2013,37201,60001,Diesel,Automatic,First,40.21,17.11,1968 CC,174.33 bhp,5,,14.5,14.5
Maruti Swift Dzire VDI,Jaipur,2014,46546,75074,Diesel,Manual,First,54.99,23.4,1248 CC,74 bhp,5,,5.25,5.25
Tata Indica Vista Quadrajet LS,Kolkata,2012,49600,80000,Diesel,Manual,Second,52.41,22.3,1248 CC,74 bhp,5,,1.2,1.2
Toyota Innova 2.5 G (Diesel) 8 Seater,Jaipur,2006,91357,147350,Diesel,Manual,Second,30.53,12.99,2494 CC,100.6 bhp,8,,4.95,4.95
Renault Duster 110PS Diesel RxZ Plus,Hyderabad,2013,37200,60000,Diesel,Manual,First,46.15,19.64,1461 CC,108.45 bhp,5,,7.5,7.5
Mercedes-Benz E-Class E400 Cabriolet,Kolkata,2015,4651,7501,Petrol,Automatic,First,23.50,10,2996 CC,333 bhp,4,87.57,48,39.57
Honda Amaze S i-Dtech,Delhi,2015,35960,58000,Diesel,Manual,First,60.63,25.8,1498 CC,98.6 bhp,5,,4.45,4.45
Mercedes-Benz GLE 350d,Coimbatore,2018,18152,29277,Diesel,Automatic,First,27.19,11.57,2987 CC,254.79 bhp,5,95.13,59.65,35.48
Maruti Ritz VDi,Kochi,2015,35361,57034,Diesel,Manual,First,54.52,23.2,1248 CC,73.94 bhp,5,,4.38,4.38
Maruti Ciaz ZDi Plus SHVS,Kochi,2016,25302,40810,Diesel,Manual,First,66.01,28.09,1248 CC,88.5 bhp,5,,7.9,7.9
Hyundai Santro Xing GL,Bangalore,2008,21866,35268,Petrol,Manual,Second,0.00,0,1086 CC,62 bhp,5,,1.88,1.88
BMW 5 Series 520d Sedan,Mumbai,2008,50220,81000,Diesel,Automatic,Second,43.43,18.48,,,,,10.5,10.5
Maruti Baleno Delta CVT,Coimbatore,2018,21471,34630,Petrol,Automatic,First,50.29,21.4,1197 CC,83.1 bhp,5,8.57,7.29,1.28
Ford Fiesta Diesel Titanium Plus,Hyderabad,2012,27976,45122,Diesel,Manual,First,55.23,23.5,1498 CC,88.7 bhp,5,,6,6
Mahindra XUV500 W8 2WD,Chennai,2011,78120,126000,Diesel,Manual,Third,37.60,16,2179 CC,140 bhp,7,,6.7,6.7
Maruti Alto LXi,Jaipur,2009,39060,63000,Petrol,Manual,First,46.30,19.7,796 CC,46.3 bhp,5,,1.5,1.5
Mini Cooper 3 DOOR D,Kochi,2016,20025,32298,Diesel,Automatic,First,48.65,20.7,1496 CC,113.98 bhp,4,35.00,23.8,11.2
Mahindra XUV500 W8 4WD,Kochi,2014,39239,63288,Diesel,Manual,First,35.49,15.1,2179 CC,140 bhp,7,,7.77,7.77
Hyundai Santro Xing GLS,Coimbatore,2012,26869,43337,Petrol,Manual,First,42.11,17.92,1086 CC,62.1 bhp,5,,3.32,3.32
Maruti Swift VDI,Kochi,2015,28868,46561,Diesel,Manual,First,53.82,22.9,1248 CC,74 bhp,5,,4.94,4.94
Mercedes-Benz A Class A180 CDI,Delhi,2013,21080,34000,Diesel,Automatic,Second,47.00,20,2143 CC,107.3 bhp,5,,11,11
Renault KWID RXT,Hyderabad,2016,29760,48000,Petrol,Manual,First,59.15,25.17,799 CC,53.3 bhp,5,,3.4,3.4
Maruti Swift VDI,Kochi,2013,34883,56263,Diesel,Manual,First,53.82,22.9,1248 CC,74 bhp,5,,4.17,4.17
Maruti Zen LXI,Hyderabad,2005,52117,84060,Petrol,Manual,Second,40.66,17.3,993 CC,60 bhp,5,,1.25,1.25
Hyundai Grand i10 Magna AT,Mumbai,2016,5580,9000,Petrol,Automatic,First,44.42,18.9,1197 CC,82 bhp,5,,5.45,5.45
Tata Manza Aura Quadrajet BS IV,Jaipur,2012,48980,79000,Diesel,Manual,First,49.63,21.12,1248 CC,88.8 bhp,5,,2.59,2.59
Mahindra XUV500 W10 AWD,Pune,2015,54498,87900,Diesel,Manual,First,37.60,16,2179 CC,140 bhp,7,,12.01,12.01
Maruti Swift Dzire 1.2 Vxi BSIV,Delhi,2010,44904,72425,Petrol,Manual,Second,41.13,17.5,1197 CC,85.8 bhp,5,,2.45,2.45
Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,23560,38000,Diesel,Automatic,First,36.97,15.73,1968 CC,174.33 bhp,5,,29,29
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2010,66340,107000,Diesel,Automatic,First,34.87,14.84,2143 CC,170 bhp,5,,11.99,11.99
Honda City i VTEC CVT VX,Delhi,2015,31620,51000,Petrol,Automatic,First,42.30,18,1497 CC,117.3 bhp,5,,7.9,7.9
Toyota Innova 2.5 GX 7 STR,Pune,2010,86800,140000,Diesel,Manual,Third,30.08,12.8,2494 CC,102 bhp,7,,6.25,6.25
Chevrolet Beat LT,Pune,2011,29760,48000,Petrol,Manual,Second,43.71,18.6,1199 CC,79.4 bhp,5,,1.8,1.8
Honda Jazz 1.2 S i VTEC,Mumbai,2015,19220,31000,Petrol,Manual,First,43.95,18.7,1199 CC,88.7 bhp,5,,4.9,4.9
Nissan Micra XL Primo,Jaipur,2010,46534,75055,Petrol,Manual,First,42.44,18.06,1198 CC,75 bhp,5,,2.25,2.25
Maruti Ciaz AT ZXi,Coimbatore,2017,31750,51210,Petrol,Automatic,First,44.93,19.12,1373 CC,91.1 bhp,5,,8.89,8.89
Toyota Fortuner 4x2 AT,Mumbai,2012,53940,87000,Diesel,Automatic,First,29.49,12.55,2982 CC,168.5 bhp,7,,15,15
Ford Aspire Ambiente Diesel,Kolkata,2018,10540,17000,Diesel,Manual,First,61.34,26.1,1498 CC,99 bhp,5,7.56,5.65,1.91
Maruti Ertiga ZDI,Jaipur,2014,35340,57000,Diesel,Manual,First,48.81,20.77,1248 CC,88.8 bhp,7,,7,7
Maruti Alto 800 LXI,Hyderabad,2016,5809,9370,Petrol,Manual,First,53.44,22.74,796 CC,47.3 bhp,5,,2.95,2.95
Honda Brio V MT,Chennai,2013,33000,53226,Petrol,Manual,First,45.59,19.4,1198 CC,86.8 bhp,5,,3.3,3.3
Hyundai Verna Transform CRDi VGT SX ABS,Hyderabad,2010,74400,120000,Diesel,Manual,Second,38.07,16.2,1493 CC,110 bhp,5,,3.5,3.5
Honda City 1.5 GXI,Jaipur,2007,46534,75055,Petrol,Manual,First,30.08,12.8,1493 CC,100 bhp,5,,2.3,2.3
Hyundai Creta 1.6 CRDi SX,Coimbatore,2017,23093,37247,Diesel,Manual,First,46.22,19.67,1582 CC,126.2 bhp,5,,13.69,13.69
Toyota Etios Liva GD,Delhi,2013,39680,64000,Diesel,Manual,First,55.44,23.59,1364 CC,67.06 bhp,5,,3.1,3.1
Hyundai Sonata Transform 2.4 GDi MT,Mumbai,2014,7440,12000,Petrol,Manual,First,31.58,13.44,2359 CC,198.25 bhp,5,,12.75,12.75
Hyundai Creta 1.6 CRDi SX Option,Pune,2017,24898,40158,Diesel,Manual,First,46.22,19.67,1582 CC,126.2 bhp,5,,13.75,13.75
Honda Jazz 1.2 SV i VTEC,Chennai,2017,6820,11000,Petrol,Manual,First,43.95,18.7,1199 CC,88.7 bhp,5,,6.75,6.75
Volkswagen Vento Diesel Comfortline,Chennai,2014,43406,70010,Diesel,Manual,First,48.27,20.54,1598 CC,103.6 bhp,5,,5.25,5.25
Mahindra XUV500 W6 2WD,Mumbai,2015,50840,82000,Diesel,Manual,First,37.60,16,2179 CC,140 bhp,7,,8.75,8.75
Mahindra TUV 300 2015-2019 T8,Kochi,2017,35501,57259,Diesel,Manual,First,43.45,18.49,1493 CC,100 bhp,7,,8.87,8.87
Honda Accord 2001-2003 2.3 VTi L AT,Bangalore,2010,52080,84000,Petrol,Automatic,Second,26.09,11.1,2354 CC,142 bhp,5,,6.5,6.5
Maruti Ertiga VDI,Pune,2012,104160,168000,Diesel,Manual,First,48.81,20.77,1248 CC,88.76 bhp,7,,4.5,4.5
Mahindra Ssangyong Rexton RX5,Hyderabad,2012,45675,73670,Diesel,Manual,First,30.15,12.83,2696 CC,162 bhp,7,,12.5,12.5
Toyota Fortuner 4x2 AT,Delhi,2014,55515,89540,Diesel,Automatic,First,29.49,12.55,2982 CC,168.5 bhp,7,,16.8,16.8
Maruti Ertiga ZDI,Hyderabad,2016,52962,85423,Diesel,Manual,First,48.81,20.77,1248 CC,88.8 bhp,7,,8.75,8.75
Hyundai Elantra CRDi SX AT,Pune,2013,30270,48823,Diesel,Automatic,First,45.83,19.5,1582 CC,126.24 bhp,5,,8.5,8.5
Hyundai i10 Magna 1.2,Kolkata,2011,21751,35082,Petrol,Manual,First,47.85,20.36,1197 CC,78.9 bhp,5,,2.21,2.21
Maruti Omni MPI STD BSIV,Jaipur,2012,78120,126000,Petrol,Manual,First,39.48,16.8,796 CC,34.2 bhp,5,,1.6,1.6
Honda Amaze VX AT i-Vtech,Delhi,2016,11780,19000,Petrol,Automatic,First,36.43,15.5,1198 CC,86.7 bhp,5,,6.25,6.25
Honda Civic 2006-2010 1.8 V AT,Mumbai,2007,42780,69000,Petrol,Automatic,Second,30.32,12.9,1799 CC,130 bhp,5,,2.25,2.25
Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,18498,29836,Diesel,Automatic,First,42.07,17.9,2143 CC,136 bhp,5,43.07,25.75,17.32
Skoda Superb 1.8 TFSI MT,Ahmedabad,2010,29761,48002,Petrol,Manual,Second,30.88,13.14,1798 CC,157.8 bhp,5,,6.75,6.75
Maruti Ciaz ZDi Plus SHVS,Ahmedabad,2015,32441,52324,Diesel,Manual,First,66.01,28.09,1248 CC,88.5 bhp,5,,6.25,6.25
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,40300,65000,Diesel,Manual,First,53.35,22.7,1498 CC,89.84 bhp,5,,5.1,5.1
Mercedes-Benz M-Class ML 320 CDI,Mumbai,2009,40920,66000,Diesel,Automatic,Second,20.45,8.7,2987 CC,224.34 bhp,5,,10.75,10.75
Hyundai Grand i10 CRDi Sportz,Hyderabad,2016,46934,75700,Diesel,Manual,First,56.40,24,1120 CC,70 bhp,5,,5.7,5.7
Volkswagen Vento Diesel Breeze,Bangalore,2013,26660,43000,Diesel,Manual,First,48.18,20.5,1598 CC,105 bhp,5,,5.95,5.95
Chevrolet Beat Diesel LT,Kochi,2012,26478,42706,Diesel,Manual,First,59.78,25.44,936 CC,56.3 bhp,5,,2.4,2.4
Mahindra Quanto C6,Mumbai,2013,21700,35000,Diesel,Manual,First,40.44,17.21,1493 CC,100 bhp,7,,3.49,3.49
Hyundai i10 Asta 1.2 AT with Sunroof,Hyderabad,2011,33696,54348,Petrol,Automatic,First,45.12,19.2,1197 CC,80 bhp,5,,4,4
Toyota Etios Liva 1.4 GD,Delhi,2013,52080,84000,Diesel,Manual,First,55.44,23.59,1364 CC,67.04 bhp,5,7.83,3.85,3.98
Toyota Corolla Altis 2008-2013 1.8 VL AT,Mumbai,2010,39245,63298,Petrol,Automatic,First,34.15,14.53,1794 CC,138.1 bhp,5,,3.95,3.95
Hyundai i10 Magna 1.2,Jaipur,2013,46530,75049,Petrol,Manual,Second,47.85,20.36,1197 CC,78.9 bhp,5,,3,3
Ford Figo Aspire 1.2 Ti-VCT Titanium,Kochi,2018,15027,24237,Petrol,Manual,First,42.68,18.16,1196 CC,86.8 bhp,5,,6.7,6.7
Maruti Ritz ZXi,Coimbatore,2016,14116,22767,Petrol,Manual,First,43.48,18.5,1197 CC,85.80 bhp,5,,6.14,6.14
Hyundai i20 Sportz AT 1.4,Bangalore,2012,35960,58000,Petrol,Automatic,Second,35.25,15,1396 CC,98.6 bhp,5,,4.4,4.4
Maruti Swift Dzire LDI,Pune,2017,35340,57000,Diesel,Manual,First,62.49,26.59,1248 CC,74 bhp,5,,4.25,4.25
BMW 7 Series 2007-2012 750Li,Kochi,2010,31100,50161,Petrol,Automatic,First,20.61,8.77,4395 CC,402 bhp,5,,25.93,25.93
Maruti S Cross DDiS 320 Alpha,Kolkata,2016,27900,45000,Diesel,Manual,First,53.35,22.7,1598 CC,118 bhp,5,,7,7
Toyota Fortuner 4x4 AT,Coimbatore,2017,42358,68319,Diesel,Automatic,First,29.49,12.55,2982 CC,168.5 bhp,7,,25.12,25.12
Hyundai EON 1.0 Magna Plus Option O,Kochi,2017,19041,30711,Petrol,Manual,First,47.71,20.3,998 CC,68.05 bhp,5,,4.45,4.45
Hyundai i20 1.4 CRDi Magna,Kolkata,2011,23732,38277,Diesel,Manual,First,51.47,21.9,1396 CC,90 bhp,5,,2.4,2.4
Volkswagen Vento Diesel Highline,Pune,2012,71300,115000,Diesel,Manual,Second,48.27,20.54,1598 CC,103.6 bhp,5,,4.33,4.33
Maruti Swift Dzire VXi AT,Coimbatore,2017,29046,46849,Petrol,Automatic,First,43.48,18.5,1197 CC,83.14 bhp,5,,6.93,6.93
Hyundai i20 Magna 1.4 CRDi,Ahmedabad,2014,39680,64000,Diesel,Manual,First,51.47,21.9,1396 CC,90 bhp,5,,4.25,4.25
Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Pune,2010,81172,130923,Diesel,Automatic,First,33.39,14.21,2143 CC,203 bhp,5,,12.5,12.5
Hyundai Grand i10 Sportz,Chennai,2015,9300,15000,Petrol,Manual,First,44.42,18.9,1197 CC,82 bhp,5,,4.9,4.9
Hyundai i20 1.4 CRDi Sportz,Mumbai,2014,20286,32720,Diesel,Manual,First,54.05,23,1396 CC,90 bhp,5,,4.5,4.5
Renault KWID RXT,Jaipur,2016,7750,12500,Petrol,Manual,First,59.15,25.17,799 CC,53.3 bhp,5,,3,3
Hyundai Xcent 1.2 Kappa AT SX Option,Chennai,2015,37076,59800,Petrol,Automatic,First,39.72,16.9,1197 CC,82 bhp,5,,5.8,5.8
Volkswagen Vento Petrol Highline,Pune,2011,33611,54211,Petrol,Manual,First,35.34,15.04,1598 CC,103.6 bhp,5,,3.33,3.33
Chevrolet Cruze LTZ AT,Kochi,2015,38590,62242,Diesel,Automatic,First,33.82,14.39,1998 CC,163.7 bhp,5,,6.62,6.62
Nissan Terrano XL 110 PS,Mumbai,2015,33480,54000,Diesel,Manual,Second,44.67,19.01,1461 CC,108.5 bhp,5,,5.75,5.75
Hyundai Verna 1.6 SX,Hyderabad,2012,40300,65000,Diesel,Manual,First,52.45,22.32,1582 CC,126.32 bhp,5,,6.2,6.2
Maruti Celerio VXI AMT,Chennai,2015,34100,55000,Petrol,Automatic,First,54.29,23.1,998 CC,67.04 bhp,5,6.00,3.5,2.5
Maruti Wagon R LXI,Pune,2010,44020,71000,Petrol,Manual,First,44.42,18.9,998 CC,67.1 bhp,5,,2,2
Hyundai i20 Magna Optional 1.4 CRDi,Chennai,2012,43400,70000,Diesel,Manual,First,51.47,21.9,1396 CC,88.8 bhp,5,,4,4
Audi A4 1.8 TFSI,Mumbai,2011,32860,53000,Petrol,Automatic,First,28.91,12.3,1781 CC,163.2 bhp,5,,9.5,9.5
BMW X1 sDrive20d,Mumbai,2013,26660,43000,Diesel,Automatic,First,40.07,17.05,1995 CC,184 bhp,5,,17.5,17.5
Skoda Rapid 1.6 MPI AT Elegance Plus,Mumbai,2015,33480,54000,Petrol,Automatic,First,33.61,14.3,1598 CC,103.52 bhp,5,,6.11,6.11
Hyundai i10 Magna,Ahmedabad,2014,31620,51000,Petrol,Manual,First,47.85,20.36,1197 CC,78.9 bhp,5,,3.75,3.75
Mitsubishi Pajero 2.8 GLX CRZ,Hyderabad,2007,48360,78000,Diesel,Manual,Second,24.68,10.5,2835 CC,107.2 bhp,6,,6.2,6.2
Honda City i DTEC SV,Mumbai,2014,15500,25000,Diesel,Manual,First,61.10,26,1498 CC,98.6 bhp,5,,6.15,6.15
Maruti Alto K10 2010-2014 VXI,Pune,2012,7812,12600,Petrol,Manual,First,49.16,20.92,998 CC,67.1 bhp,5,,2.4,2.4
Maruti Swift Ldi BSIII,Pune,2009,49600,80000,Diesel,Manual,Fourth & Above,41.83,17.8,1248 CC,75 bhp,5,,2.15,2.15
Hyundai Grand i10 Magna,Kolkata,2016,13020,21000,Petrol,Manual,First,44.42,18.9,1197 CC,82 bhp,5,,3.75,3.75
Ford Figo Petrol ZXI,Mumbai,2011,19840,32000,Petrol,Manual,Second,36.66,15.6,1196 CC,70 bhp,5,,2.15,2.15
Hyundai Grand i10 SportZ Edition,Bangalore,2015,31000,50000,Petrol,Manual,First,44.42,18.9,1197 CC,81.86 bhp,5,,4.75,4.75
Maruti SX4 Vxi BSIV,Mumbai,2010,29450,47500,Petrol,Manual,First,36.43,15.5,1586 CC,103.3 bhp,5,,2.45,2.45
Honda City i-VTEC VX,Mumbai,2017,4650,7500,Petrol,Manual,First,40.89,17.4,1497 CC,117.3 bhp,5,13.76,11.15,2.61
Renault Duster 110PS Diesel RxZ AMT,Jaipur,2016,42261,68163,Diesel,Automatic,First,46.06,19.6,1461 CC,108.45 bhp,5,14.11,8.9,5.21
Honda Amaze S i-Dtech,Ahmedabad,2014,37820,61000,Diesel,Manual,First,60.63,25.8,1498 CC,98.6 bhp,5,,4.35,4.35
Toyota Innova 2.5 Z Diesel 7 Seater,Jaipur,2015,62000,100000,Diesel,Manual,Second,30.53,12.99,2494 CC,100.6 bhp,7,,12,12
BMW 3 Series 320d Highline,Mumbai,2009,38130,61500,Diesel,Automatic,Second,37.76,16.07,1995 CC,181 bhp,5,,8.5,8.5
Hyundai i10 Magna 1.1 iTech SE,Kochi,2017,26587,42883,Petrol,Manual,First,46.55,19.81,1086 CC,68.05 bhp,5,,4.27,4.27
Renault Duster 85PS Diesel RxL Optional with Nav,Jaipur,2012,60140,97000,Diesel,Manual,Second,48.06,20.45,1461 CC,83.8 bhp,5,,4.25,4.25
Mitsubishi Outlander 2.4,Bangalore,2010,24506,39525,Petrol,Automatic,First,26.56,11.3,2360 CC,170 bhp,5,,9.25,9.25
Maruti Vitara Brezza LDi,Kochi,2017,21938,35384,Diesel,Manual,First,57.11,24.3,1248 CC,88.5 bhp,5,9.12,8.61,0.51
Mercedes-Benz R-Class R350 CDI 4MATIC,Hyderabad,2010,28520,46000,Diesel,Automatic,First,27.73,11.8,2987 CC,261 bhp,7,,28,28
Ford EcoSport 1.5 Diesel Titanium,Coimbatore,2018,19957,32189,Diesel,Manual,First,54.05,23,1498 CC,98.96 bhp,5,11.20,9.25,1.95
Hyundai Verna 1.6 CRDI AT SX Option,Chennai,2016,16740,27000,Diesel,Automatic,First,44.84,19.08,1582 CC,126.2 bhp,5,,8.6,8.6
Volkswagen Polo 1.2 MPI Highline,Coimbatore,2018,14095,22734,Petrol,Manual,First,38.70,16.47,1198 CC,74 bhp,5,,7.53,7.53
